"id" "x1" "t" "Y"
1 -0.623383860126507 -1 2
2 0.300891210424461 -0.994987468671679 2
3 0.162462203908851 -0.989974937343358 2
4 -0.428495518281982 -0.984962406015038 2
5 -1.14209538832788 -0.979949874686717 2
6 0.442523097261637 -0.974937343358396 2
7 0.465546996886291 -0.969924812030075 2
8 0.421769207742213 -0.964912280701754 2
9 0.610793369756157 -0.959899749373434 2
10 -1.77304211733609 -0.954887218045113 1
11 1.24612062398108 -0.949874686716792 3
12 -0.0915520340493824 -0.944862155388471 2
13 0.547702866397147 -0.93984962406015 1
14 0.791134779466039 -0.93483709273183 2
15 0.151112092579837 -0.929824561403509 2
16 -0.124222527930988 -0.924812030075188 1
17 -1.62659638446563 -0.919799498746867 1
18 -1.11504624195528 -0.914786967418546 2
19 0.452564985807784 -0.909774436090226 2
20 -1.46054364957038 -0.904761904761905 1
21 -0.297831897148084 -0.899749373433584 1
22 0.815445010930944 -0.894736842105263 1
23 0.584718996176327 -0.889724310776942 3
24 1.74387369154065 -0.884711779448622 3
25 0.724508560722725 -0.879699248120301 3
26 0.232309496164005 -0.87468671679198 2
27 -0.291549601758387 -0.869674185463659 2
28 0.622013293299852 -0.864661654135338 3
29 1.43286518474432 -0.859649122807018 3
30 0.66171948336682 -0.854636591478697 2
31 -1.93091619724954 -0.849624060150376 1
32 -0.802767401446795 -0.844611528822055 1
33 -1.55693627623447 -0.839598997493734 1
34 -1.44414182113422 -0.834586466165414 2
35 -0.529113261301613 -0.829573934837093 2
36 1.25464407888583 -0.824561403508772 3
37 1.15395012910265 -0.819548872180451 3
38 -0.0718576319975165 -0.81453634085213 3
39 1.64803214133257 -0.80952380952381 3
40 -0.704957075196428 -0.804511278195489 2
41 0.745356420327082 -0.799498746867168 2
42 0.980963843723468 -0.794486215538847 3
43 -0.371055666632575 -0.789473684210526 2
44 -0.330725759787316 -0.784461152882206 3
45 -0.233198412571665 -0.779448621553885 3
46 -0.697738708906127 -0.774436090225564 1
47 0.244586288469672 -0.769423558897243 2
48 -0.611302628147564 -0.764411027568922 2
49 -0.116055824193953 -0.759398496240602 2
50 0.0956056076660874 -0.754385964912281 2
51 -1.77630392509041 -0.74937343358396 1
52 0.211243754803415 -0.744360902255639 2
53 -0.761731588611862 -0.739348370927318 2
54 1.14184319648273 -0.734335839598998 2
55 -0.278562047244773 -0.729323308270677 1
56 0.273969566575159 -0.724310776942356 2
57 -0.27692612369126 -0.719298245614035 3
58 1.76450915626315 -0.714285714285714 3
59 0.326141811885518 -0.709273182957393 2
60 2.29398301748966 -0.704260651629073 3
61 -1.13037597444082 -0.699248120300752 1
62 1.11389604360264 -0.694235588972431 3
63 -0.750185811860542 -0.68922305764411 1
64 -0.973943795890081 -0.684210526315789 2
65 -0.257300666738335 -0.679197994987469 3
66 -0.19712535467046 -0.674185463659148 2
67 0.657500485845075 -0.669172932330827 3
68 -0.142099143360111 -0.664160401002506 2
69 -0.054158228143277 -0.659147869674185 3
70 0.250116106821278 -0.654135338345865 2
71 0.613327417608109 -0.649122807017544 2
72 -1.46089736838867 -0.644110275689223 1
73 -1.11590632147496 -0.639097744360902 1
74 -1.54245611993498 -0.634085213032581 1
75 1.38311811464545 -0.629072681704261 3
76 -2.09946382837135 -0.62406015037594 1
77 -0.323803800401724 -0.619047619047619 2
78 0.915393549726278 -0.614035087719298 3
79 -0.0999819630348276 -0.609022556390977 3
80 0.981957503227639 -0.604010025062657 3
81 0.534365394666941 -0.598997493734336 2
82 0.49796142673091 -0.593984962406015 3
83 -0.362813999755212 -0.588972431077694 2
84 -0.44137092015072 -0.583959899749373 2
85 1.08601980026245 -0.578947368421053 2
86 1.21175890065803 -0.573934837092732 3
87 -0.867095749513505 -0.568922305764411 2
88 -1.52605036111716 -0.56390977443609 1
89 0.405209967597425 -0.558897243107769 3
90 0.141289382264045 -0.553884711779449 1
91 1.82936213093944 -0.548872180451128 3
92 1.53481353968135 -0.543859649122807 3
93 -0.744469342169593 -0.538847117794486 2
94 1.83477273505703 -0.533834586466165 3
95 0.723576392192214 -0.528822055137845 3
96 -0.0870420164341087 -0.523809523809524 3
97 -0.019740546824204 -0.518796992481203 3
98 0.0779832814121779 -0.513784461152882 2
99 0.177527490433384 -0.508771929824561 3
100 0.817734388494261 -0.503759398496241 3
101 0.622623530076239 -0.49874686716792 3
102 1.65617782664996 -0.493734335839599 3
103 0.278113904625765 -0.488721804511278 2
104 -2.24044956976818 -0.483709273182957 1
105 0.398190742534875 -0.478696741854637 3
106 0.232360050870515 -0.473684210526316 3
107 -0.287160083779491 -0.468671679197995 2
108 0.3140594727761 -0.463659147869674 2
109 -1.09652530599832 -0.458646616541353 2
110 0.157274780571436 -0.453634085213033 2
111 -0.178987708900182 -0.448621553884712 3
112 0.817909049324528 -0.443609022556391 3
113 0.359034121294261 -0.43859649122807 3
